,title,cluster
0,Linksys EtherFast 8-Port 10/100 Switch - EZXS88W,82
1,Linksys EtherFast10/100 5-Port Auto-Sensing Switch - EZXS55W,-1
2,Netgear ProSafe 5 Port 10/100 Desktop Switch - FS105,98
3,Belkin F3H982-10 Pro Series High Integrity 10 Feet Monitor Cable - F3H98210,64
4,Netgear Prosafe 16 Port 10/100 Rackmount Switch - Black Finish - JFS516NA,64
5,LaCie USB 2.0 Floppy Disk Drive - 706018,-1
6,Canon KP-36IP Color Ink & Paper Set - 7737A001,90
7,Kensington Orbit Optical Trackball Mouse - 64327,-1
8,Linksys EtherFast4116 16-Port 10/100 Ethernet Switch - EF4116,109
9,Linksys EtherFast 4124 24-Port Ethernet Switch - EF4124,93
10,Linksys Gigabit 5-Port Workgroup Switch - EG005W,105
11,Linksys Wireless-G Ethernet Bridge - WET54G,94
12,Tripp-Lite PV375 PowerVerter 375-Watt Ultra-Compact Inverter - PV375,115
13,Netgear Prosafe 5 Port Gigabit Ethernet Desktop Switch - GS105NA,105
14,Belkin F3H982-25 Black 25 Ft Pro Series High Integrity VGA/SVGA Monitor Replacement Cable - F3H98225,39
15,Logitech Driving Force Pro Steering Wheel With Pedals Set For Sony Playstation 2 - 9632930403,82
16,Belkin AC Anywhere - F5C400300W,118
17,Linksys Wireless-G Range Expander - WRE54G,-1
18,Sony VAIO Neoprene Notebook With AC Adapter Case - Black Finish - VGPAMC2,37
19,D-Link Broadband Cable Modem - DCM202,113
20,Sony VAIO Neoprene Laptop Carrying Case - Black Finish - VGPAMC3,31
21,Panasonic Laser Toner Cartridge - KXFA83,81
22,Logitech 2.1 Multimedia Silver Speaker System - Z2300,-1
23,Sony HD DVC Tape - DVM63HD,88
24,Netgear Wireless Access Point - WG102,104
25,Netgear RangeMax Wireless Access Point - White Finish - WPN802NA,99
26,NetGear ProSafe 24 Port Smart Switch - FS726TP,93
27,Sony PlayStation 2 8MB Memory Card - Black Finish - 711719702702,37
28,Sony PlayStation 2 8MB Memory Card (2 Pack) - Red/Blue Finish - 711719706700,74
29,Sony PlayStation 2 DUALSHOCK 2 Analog Controller - Emerald Finish - 711719706205,83
30,Sony DVD Remote Control For PS2 - Black Finish - 711719707608,-1
31,Sennheiser Rechargeable Nickel-Metal Hydride Battery - BA151,95
32,Sony MiniDV Cleaning Cassette - DVM12CLD,88
33,Sony Switcher - SBV40S,76
34,Panasonic Integrated Telephone System - KXTS108W,68
35,Panasonic 2-Line Integrated Telephone System - KXTS208W,-1
36,Garmin Deluxe Carrying Case - Black Finish - 0101023101,55
37,Sony Vertical-In-The-Ear Stereo Headphones - MDRJ10,88
38,Belkin Pro Series 16 Ft.  USB 2.0 Cable - F3U13316,-1
39,Omnimount Wall Speaker Mount - 20WLBK,-1
40,Omnimount Wall Speaker Mount - 20WLWH,-1
41,Sanus Euro Foundations Satellite Speaker Stand - EFSATS,-1
42,Peerless Wall TV Mounts In Black - PM1327BK,17
43,Sanus Euro Foundations Satellite Speaker Stand - EFSATB,-1
44,Panasonic Hands-Free Headset - KXTCA86,89
45,Sony Lightweight Tripod - Black Finish - VCTR640,53
46,Sanus 13' - 30' VisionMount Flat Panel TV Silver Wall Mount - VMFS,16
47,Sanus WMS3B Black Weather Resistant Small Speaker Wall Mount - WMS3B,-1
48,Sanus WMS3S Silver Weather Resistant Small Speaker Wall Mount - WMS3S,38
49,Sony DVD-R Recordable Camcorder Media - 3DMR30L1H,-1
50,Sony 8cm MiniDVD-R Camcorder Media 3 Pack - 3DMR30R1H,68
51,Panasonic Corded Phone - KXTS3282B,66
52,Sennheisser Hi-Fi Wireless Headphone - RS120,113
53,Sanus 32' - 50' Flat Panel TV Black Wall Mount - VMPL50B,-1
54,Sony Turntable - PSLX350H,76
55,Sony Stereo Audio Receiver - STRDE197,76
56,Sanus Silver LCD Television Turntable - TVLCDS,14
57,Panasonic Hands Free Headset  - KXTCA92,89
58,Panasonic 2 Line Integrated Corded Phone System - KXTSC14B,66
59,Sony 300 Disc CD Changer - CDPCX355,76
60,Sanus 13' - 30' Flat Panel TV Black Wall Mount - VM1B,-1
61,Canon Black Rechargeable Battery - 9612A001,32
62,Olympus Olympus Ni-MH Quick Charger And Battery Set - B90SU,92
63,Sony Xplod 10-Disc Add-On CD/MP3 Changer - CDX565MXRF,76
64,Omnimount TV Top Shelf Mount - CCH1B,-1
65,Canon Rechargeable Battery - 9763A001,57
66,Panasonic 5-Pack DVD-RAM Discs - LMAF120LU5,70
67,Canon CB-2LV Battery Charger - 9764A001,71
68,Canon 9517A002 EF-S 17mm - 85mm f/4.0-5.6 USM IS Zoom Lens - 9517A002,-1
69,Sennheiser RF Wireless Headphones - RS140,116
70,Sennheisser Hi-Fi Wireless Headphone - RS130,113
71,Sanus 32' - 84' Flat Panel TV Black Tilting Wall Mount - VMPL3B,20
72,Sanus 15' - 40' Flat Panel TV Silver Wall Mount - VM400S,20
73,Sanus 9' - 17' VisionMount Series Under Cabinet Flat Panel TV Silver Wall Mount - VMUC1S,21
74,Sanus 15' - 40' Flat Panel TV Black Wall Mount - VM400B,-1
75,Sanus Universal Projector Ceiling Mount -  Black Finish - VMPR1B,14
76,Weber Performer 22-1/2' Charcoal Grill - 848001,52
77,Weber Performer 22-1/2' Charcoal Grill - 841001,52
78,Omnimount TV Top Shelf Mount - CCH1P,-1
79,Sony Soft Cyber-Shot Carrying Case - LCSCST,30
80,Linksys Wireless-G VPN Broadband Silver Router - WRV54G,80
81,Kingdom Hearts II Video Game For The Sony PS2 - 662248904115,89
82,Canon Magenta Ink Tank - Magenta - CLI8M,81
83,Canon Color Ink Tank - CL41CL,72
84,Canon Black Photo Ink Cartridge - CLI8B,32
85,Canon Cyan Ink Tank - Cyan - CLI8C,90
86,Canon Yellow Ink Cartridge - Yellow - CLI8Y,-1
87,Canon Black Ink Cartridge - Black - PG40BK,-1
88,Canon PGI-5BK Black Ink Tank Cartridge - PGI5BK,-1
89,Peerless 23' - 46' Universal Flat Panel TV Black Wall Mount - SF640P,20
90,Netgear ProSafe 16 Port 10/100 Desktop Switch - Purple Finish - FS116P,95
91,Peerless 37' - 60' Flat Panel TV Black Wall Mount  - ST660P,20
92,Netgear ProSafe 24-Port Gigabit Rackmount Switch With 2 SFP Slots - JGS524F,93
93,Tripp-Lite Black 25 Foot SVGA HD15M To HD15M Computer Monitor Cable - P502025,61
94,Logitech diNovo Media Desktop Laser Keyboard And Mouse Combo - 967562,-1
95,Canon Cyan Photo Ink Cartridge - Cyan - CLI8PC,72
96,Canon Magenta Photo Ink Cartridge - Magenta - CLI8PM,72
97,Canon High Capacity Color Ink Cartridge - Color Ink - CL51,-1
98,Canon Black Ink Cartridge - PG50,32
99,Canon Photo Ink Cartridge - CL52,48
100,Delonghi Twenty Four Seven Coffee Maker In Black - DC50B,64
101,Panasonic LM-AF30U3 Three Pack Of Single-Sided 30 Minute DVD-RAM Discs - LMAF30U3,-1
102,Belkin Hi-Speed USB 2.0 7-Port Hub - F5U237APLS,109
103,Canon Black EF 70-300mm F/4-5.6 IS USM Telephoto Zoom Lens - 0345B002,32
104,Universal IR/RF Aeros Remote Control- MX850 - MX850,-1
105,Universal IR/RF Remote - MX350,106
106,Panasonic Genius Countertop Microwave In Black - NNH965BK,63
107,Panasonic Genius Countertop Microwave In White - NNH965WH,-1
108,Linksys Wireless-G Broadband Router - WRT54GL,94
109,Terk XM Outdoor Home Antenna - Grey Finish - XM6,-1
110,Nikon AF Speedlight Accessory - SB600,92
111,Sony Memory Stick Duo Replacement Adaptor - Silver/Blue Finish - MSACM2,67
112,Kensington MicroSaver Keyed Notebook Lock - 64068F,112
113,Linksys Compact Wireless-G USB Adapter - WUSB54GC,94
114,Sirius External Home Antenna - 14240,112
115,Sony Digital Photo Printer Paper 120 Pack - SVMF120P,36
116,Audiovox Xpress XM Satellite Radio Receiver Home Kit - XMH10A,-1
117,Audiovox Xpress XM Satellite Radio FM Direct Adapter - XMFM1,-1
118,Sanus VMAV Black VisionMount Component Wall Shelf VMAVB In Black - VMAVB,14
119,Sony Memory Stick USB Adaptor - MSACUS40,81
