,Title_retA,Title_retB,Similarity
0,Linksys EtherFast 8-Port 10/100 Switch - EZXS88W,Linksys EtherFast EZXS88W Ethernet Switch - EZXS88W,0.68573
1,Belkin F3H982-10 Pro Series High Integrity 10 Feet Monitor Cable - F3H98210,Belkin Pro Series High Integrity VGA/SVGA Monitor Extension Cable - F3H982-10,0.67453
2,LaCie USB 2.0 Floppy Disk Drive - 706018,LaCie Pocket Floppy Disk Drive - 706018,0.77309
3,Canon KP-36IP Color Ink & Paper Set - 7737A001,Canon KP 36IP Print Cartridge / Paper Kit - 7737A001,0.68089
4,Kensington Orbit Optical Trackball Mouse - 64327,Kensington Orbit Optical Trackball - USB w/PS2 Adapter - 64327,0.76323
5,Linksys EtherFast 4124 24-Port Ethernet Switch - EF4124,Linksys EtherFast EF4124 Ethernet Switch,0.78083
6,Linksys Wireless-G Ethernet Bridge - WET54G,Linksys G Wireless-G WET54G Wireless Bridge,0.90695
7,Linksys Wireless-G Ethernet Bridge - WET54G,Linksys Wireless-G Range Expander Wireless Bridge - WRE54G,0.62747
8,Tripp-Lite PV375 PowerVerter 375-Watt Ultra-Compact Inverter - PV375,Tripp Lite PowerVerter 375-Watt Ultra-Compact Inverter - PV375,0.95706
9,Netgear Prosafe 5 Port Gigabit Ethernet Desktop Switch - GS105NA,Netgear ProSafe GS105 Ethernet Switch - GS105NA,0.67045
10,Netgear Prosafe 5 Port Gigabit Ethernet Desktop Switch - GS105NA,Netgear ProSafe JGS524F 24-Port Gigabit Ethernet Switch - JGS524FNA,0.62349
11,Belkin F3H982-25 Black 25 Ft Pro Series High Integrity VGA/SVGA Monitor Replacement Cable - F3H98225,Belkin Pro Series High Integrity VGA/SVGA Monitor Extension Cable - F3H982-10,0.69881
12,Belkin F3H982-25 Black 25 Ft Pro Series High Integrity VGA/SVGA Monitor Replacement Cable - F3H98225,Belkin Monitor Cable - F3H982-25,0.63409
13,Linksys Wireless-G Range Expander - WRE54G,Linksys Wireless-G Range Expander Wireless Bridge - WRE54G,0.90219
14,Sony VAIO Neoprene Notebook With AC Adapter Case - Black Finish - VGPAMC2,Sony VAIO Notebook and AC Adapter Case - VGPAMC2,0.85348
15,Netgear Wireless Access Point - WG102,Netgear ProSafe WG102 Wireless Access Point 802.11g - WG102NA,0.67437
16,Netgear RangeMax Wireless Access Point - White Finish - WPN802NA,Netgear RangeMax WPN802 Wireless Access Point - WPN802NA,0.83271
17,NetGear ProSafe 24 Port Smart Switch - FS726TP,Netgear ProSafe FS726TP 24 Port 10/100 Smart Switch - FS726TPNA,0.82272
18,Sony PlayStation 2 8MB Memory Card - Black Finish - 711719702702,PlayStation 2 Memory Card 8MB,0.77863
19,Sony PlayStation 2 8MB Memory Card (2 Pack) - Red/Blue Finish - 711719706700,PlayStation 2 Memory Card 8MB,0.69825
20,Sony PlayStation 2 DUALSHOCK 2 Analog Controller - Emerald Finish - 711719706205,PlayStation 2 DUALSHOCK Analog Controller - Green,0.6867
21,Sennheiser Rechargeable Nickel-Metal Hydride Battery - BA151,Sennheiser Nickel metal hydride Battery for Headsets - BA-151,0.62687
22,Sanus WMS3B Black Weather Resistant Small Speaker Wall Mount - WMS3B,Sanus Speaker Mount - WMS3B BLACK,0.75871
23,Sanus WMS3S Silver Weather Resistant Small Speaker Wall Mount - WMS3S,Sanus Wall/Ceiling Speaker Mount - WMS3S SILVER,0.69902
24,Sony DVD-R Recordable Camcorder Media - 3DMR30L1H,Sony Mini DVD-R Media - 3DMR30L1H,0.72485
25,Sennheisser Hi-Fi Wireless Headphone - RS120,Sennheiser RS 120 Wireless Hi-fi Headphone - RS120,0.69416
26,Sanus 13' - 30' Flat Panel TV Black Wall Mount - VM1B,Sanus Flat Panel TV Wall Mount - VM1B,0.8385
27,Omnimount TV Top Shelf Mount - CCH1B,OmniMount TV Top Shelf Mount,0.78519
28,Omnimount TV Top Shelf Mount - CCH1B,OmniMount TV Top Shelf Mount - CCH1P,0.62855
29,Canon Rechargeable Battery - 9763A001,Canon NB-4L Rechargeable Camera Battery - 9763A001,0.70734
30,Canon CB-2LV Battery Charger - 9764A001,Canon CB-2LV Battery Charger - 9764A001,1.0
31,Canon 9517A002 EF-S 17mm - 85mm f/4.0-5.6 USM IS Zoom Lens - 9517A002,Canon EF-S 17-85MM f/4-5.6 IS USM Standard Zoom Lens,0.72597
