,title,title_token
0,Linksys EtherFast EZXS88W Ethernet Switch - EZXS88W,"['linksys', 'etherfast', 'ezxs88w', 'ethernet', 'switch', 'ezxs88w']"
1,Linksys EtherFast EZXS55W Ethernet Switch,"['linksys', 'etherfast', 'ezxs55w', 'ethernet', 'switch']"
2,Netgear ProSafe FS105 Ethernet Switch - FS105NA,"['netgear', 'prosafe', 'fs105', 'ethernet', 'switch', 'fs105na']"
3,Belkin Pro Series High Integrity VGA/SVGA Monitor Extension Cable - F3H982-10,"['belkin', 'pro', 'series', 'high', 'integrity', 'vga', 'svga', 'monitor', 'extension', 'cable', 'f3h982', '10']"
4,Netgear ProSafe JFS516 Ethernet Switch,"['netgear', 'prosafe', 'jfs516', 'ethernet', 'switch']"
5,LaCie Pocket Floppy Disk Drive - 706018,"['lacie', 'pocket', 'floppy', 'disk', 'drive', '706018']"
6,Canon KP 36IP Print Cartridge / Paper Kit - 7737A001,"['canon', 'kp', '36ip', 'print', 'cartridge', 'paper', 'kit', '7737a001']"
7,Kensington Orbit Optical Trackball - USB w/PS2 Adapter - 64327,"['kensington', 'orbit', 'optical', 'trackball', 'usb', 'w', 'ps2', 'adapter', '64327']"
8,Linksys EtherFast EF4116 Ethernet Switch,"['linksys', 'etherfast', 'ef4116', 'ethernet', 'switch']"
9,Linksys EtherFast EF4124 Ethernet Switch,"['linksys', 'etherfast', 'ef4124', 'ethernet', 'switch']"
10,Linksys Instant Gigabit EG005W Ethernet Switch,"['linksys', 'instant', 'gigabit', 'eg005w', 'ethernet', 'switch']"
11,Linksys G Wireless-G WET54G Wireless Bridge,"['linksys', 'g', 'wireless', 'g', 'wet54', 'g', 'wireless', 'bridge']"
12,Tripp Lite PowerVerter 375-Watt Ultra-Compact Inverter - PV375,"['tripp', 'lite', 'powerverter', '375', 'watt', 'ultra', 'compact', 'inverter', 'pv375']"
13,Netgear ProSafe GS105 Ethernet Switch - GS105NA,"['netgear', 'prosafe', 'gs105', 'ethernet', 'switch', 'gs105na']"
14,Belkin Monitor Cable - F3H982-25,"['belkin', 'monitor', 'cable', 'f3h982', '25']"
15,Logitech Driving Force Pro for PlayStation 2 - 963293-0403,"['logitech', 'driving', 'force', 'pro', 'playstation', '2', '963293', '0403']"
16,Belkin AC Anywhere 300W Power Inverter - F5C400-300W,"['belkin', 'ac', '300w', 'power', 'inverter', 'f5c400', '300w']"
17,Linksys Wireless-G Range Expander Wireless Bridge - WRE54G,"['linksys', 'wireless', 'g', 'range', 'expander', 'wireless', 'bridge', 'wre54', 'g']"
18,Sony VAIO Notebook and AC Adapter Case - VGPAMC2,"['sony', 'vaio', 'notebook', 'ac', 'adapter', 'case', 'vgpamc2']"
19,D-Link Express EtherNetwork High-Speed DOCSIS 2.0 Cable Modem - DCM-202,"['d', 'link', 'express', 'ethernetwork', 'high', 'speed', 'docsis', '2', '0', 'cable', 'modem', 'dcm', '202']"
20,Sony Notebook and AC Adapter Cases - VGPAMC3,"['sony', 'notebook', 'ac', 'adapter', 'cases', 'vgpamc3']"
21,Panasonic Black Toner Cartridge - KX-FA83,"['panasonic', 'black', 'toner', 'cartridge', 'kx', 'fa83']"
22,Logitech Z-2300 Multimedia Speaker System - 970118-0403,"['logitech', 'z', '2300', 'multimedia', 'speaker', 'system', '970118', '0403']"
23,Sony High Definition Mini DV Cassette - DSL-190-B,"['sony', 'high', 'definition', 'mini', 'dv', 'cassette', 'dsl', '190', 'b']"
24,Netgear ProSafe WG102 Wireless Access Point 802.11g - WG102NA,"['netgear', 'prosafe', 'wg102', 'wireless', 'access', 'point', '802', '11', 'g', 'wg102na']"
25,Netgear RangeMax WPN802 Wireless Access Point - WPN802NA,"['netgear', 'rangemax', 'wpn802', 'wireless', 'access', 'point', 'wpn802na']"
26,Netgear ProSafe FS726TP 24 Port 10/100 Smart Switch - FS726TPNA,"['netgear', 'prosafe', 'fs726tp', '24', 'port', '10', '100', 'smart', 'switch', 'fs726tpna']"
27,PlayStation 2 Memory Card 8MB,"['playstation', '2', 'memory', 'card', '8', 'mb']"
28,SONY 7-11719-70670-0 PS2 8 MB Memory Card 2-pk - 97067,"['sony', '7', '11719', '70670', '0', 'ps2', '8', 'mb', 'memory', 'card', '2', 'pk', '97067']"
